# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All between sampletype2	Positive_4 vs. control_skin_left	-8.65991056111	4.99543303203e-18	6.80877522265e-15	N/A	N/A
All between sampletype2	Positive_3 vs. control_skin_right	-7.84990095653	4.32635980798e-15	5.89682841827e-12	N/A	N/A
All between sampletype2	Positive_3 vs. wound_swab	-5.42067623415	5.99118573039e-08	8.16598615053e-05	N/A	N/A
All between sampletype2	Positive_3 vs. diabetic_skin_contra	-7.92895124274	2.2999246274e-15	3.13479726715e-12	N/A	N/A
All between sampletype2	Positive_3 vs. wound_deb	-4.54035456341	5.64163041514e-06	0.00768954225583	N/A	N/A
All between sampletype2	Positive_3 vs. control_skin_left	-8.27102725297	1.39211980084e-16	1.89745928854e-13	N/A	N/A
All between sampletype2	control_skin_right vs. wound_swab	-10.8554694305	2.13992677729e-27	2.91672019744e-24	N/A	N/A
All between sampletype2	control_skin_right vs. diabetic_skin_contra	14.1270254412	0.0	0.0	N/A	N/A
All between sampletype2	control_skin_right vs. wound_deb	-12.03381531	2.87933181701e-33	3.92452926659e-30	N/A	N/A
All between sampletype2	control_skin_right vs. control_skin_left	18.3456973877	0.0	0.0	N/A	N/A
All between sampletype2	wound_swab vs. diabetic_skin_contra	-11.0556398151	2.36541796055e-28	3.22406468024e-25	N/A	N/A
All between sampletype2	wound_swab vs. wound_deb	-17.8584816001	6.4290529939e-71	8.76279923069e-68	N/A	N/A
All between sampletype2	wound_swab vs. control_skin_left	-13.0724185057	6.20318710252e-39	8.45494402073e-36	N/A	N/A
All between sampletype2	diabetic_skin_contra vs. wound_deb	-12.500210947	9.36828367733e-36	1.27689706522e-32	N/A	N/A
All between sampletype2	diabetic_skin_contra vs. control_skin_left	13.7193557113	0.0	0.0	N/A	N/A
All between sampletype2	wound_deb vs. control_skin_left	-14.0903865964	6.299739694e-45	8.58654520292e-42	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_right vs. control_skin_right	-6.14682083984	9.68045610641e-10	1.3194461673e-06	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_swab vs. wound_swab	-27.6736295249	5.50736183249e-142	7.50653417768e-139	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_contra vs. diabetic_skin_contra	-10.5058593304	3.44526108936e-25	4.6958908648e-22	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_deb vs. wound_deb	-25.5599622399	1.1526280919e-120	1.57103208926e-117	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_left vs. control_skin_left	-7.95383120902	2.97649898144e-15	4.0569681117e-12	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. Unknown3	1.10853951209	0.267855925874	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. Unknown	-2.8453629127	0.00451317560811	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. Positive_4	-16.5110731576	3.13131767716e-55	4.26798599396e-52	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. Positive_3	-16.0366940304	1.74385406998e-52	2.37687309738e-49	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. control_skin_right	-8.42337264701	5.63299297048e-17	7.67776941876e-14	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. wound_swab	-22.2461876977	1.01936394247e-101	1.38939305358e-98	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. diabetic_skin_contra	-7.74234251981	1.29547828289e-14	1.76573689958e-11	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. wound_deb	-23.5364379154	4.51034154623e-111	6.14759552751e-108	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_adj vs. control_skin_left	-10.8996045183	3.46921992866e-27	4.72854676277e-24	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. Unknown	-0.27594137304	[ 0.78264369]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. Positive_4	2.37297657324	[ 0.0178124]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. Positive_3	2.30169851729	[ 0.02153388]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. control_skin_right	0.54726773333	0.584299715894	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. wound_swab	-5.12282040125	3.51974317986e-07	0.000479740995415	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. diabetic_skin_contra	-0.236749108148	0.812892877612	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. wound_deb	-4.94645268998	8.675990781e-07	0.00118253754345	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown3 vs. control_skin_left	0.199142123866	0.842186201561	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. Positive_4	1.85207277121	[ 0.06427674]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. Positive_3	1.7810957252	[ 0.07516608]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. control_skin_right	-1.19517575565	0.23226181548	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. wound_swab	-5.98263711044	2.91696666276e-09	3.97582556134e-06	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. diabetic_skin_contra	-2.13505633091	0.0329636681564	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. wound_deb	-5.49051627208	4.92378040346e-08	6.71111268992e-05	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Unknown vs. control_skin_left	-1.04501870122	0.296230364441	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. Positive_3	-1.28465341748	[ 0.19917741]	1	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. control_skin_right	-14.9114613015	3.79024098816e-46	5.16609846687e-43	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. wound_swab	-11.8863850745	7.75848539596e-31	1.05748155947e-27	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. diabetic_skin_contra	-15.3879788614	8.46251048002e-49	1.15344017843e-45	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. wound_deb	-10.1852668257	2.16658748401e-23	2.9530587407e-20	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_4 vs. control_skin_left	-15.7624611536	6.67909607466e-51	9.10360794976e-48	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_3 vs. control_skin_right	-14.477055267	8.4675939712e-44	1.15413305827e-40	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_3 vs. wound_swab	-11.4736006005	5.99514241618e-29	8.17137911326e-26	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_3 vs. diabetic_skin_contra	-14.9264762986	3.00384862148e-46	4.09424567108e-43	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_3 vs. wound_deb	-9.83202190219	5.78850314498e-22	7.8897297866e-19	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	Positive_3 vs. control_skin_left	-15.3000333558	2.6354993041e-48	3.59218555149e-45	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_right vs. wound_swab	-27.1839144738	1.01536830601e-143	1.38394700109e-140	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_right vs. diabetic_skin_contra	-11.5950198214	2.13849531001e-30	2.91476910754e-27	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_right vs. wound_deb	-27.3000328173	4.06817874802e-142	5.54492763355e-139	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	control_skin_right vs. control_skin_left	-8.23018976111	2.84753850522e-16	3.88119498262e-13	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_swab vs. diabetic_skin_contra	-26.8161961945	1.24643913015e-141	1.6988965344e-138	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_swab vs. wound_deb	-29.5555147064	2.83204755843e-163	3.86008082214e-160	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_swab vs. control_skin_left	-29.3521620422	1.13950122319e-165	1.55314016721e-162	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_contra vs. wound_deb	-27.3598932117	5.11781598807e-144	6.97558319174e-141	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	diabetic_skin_contra vs. control_skin_left	-12.9293267702	2.94577948218e-37	4.01509743421e-34	N/A	N/A
diabetic_skin_adj vs. diabetic_skin_adj	wound_deb vs. control_skin_left	-29.4152195355	8.0179720016e-163	1.09284958382e-159	N/A	N/A
control_skin_right vs. control_skin_right	wound_swab vs. wound_swab	-20.5883876208	4.96183783061e-83	6.76298496312e-80	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_contra vs. diabetic_skin_contra	-4.000369121	6.6046170485e-05	0.090020930371	N/A	N/A
control_skin_right vs. control_skin_right	wound_deb vs. wound_deb	-20.4652154411	1.72876351765e-79	2.35630467456e-76	N/A	N/A
control_skin_right vs. control_skin_right	control_skin_left vs. control_skin_left	-1.17430778237	0.240446081659	1	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. Unknown3	3.59367076014	0.000347386710076	0.473488085834	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. Unknown	-1.11270897277	0.26619042995	1	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. Positive_4	-17.4694305498	1.39324889759e-57	1.89899824742e-54	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. Positive_3	-16.9016275169	1.56117477474e-54	2.12788121797e-51	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. control_skin_right	-0.679834899674	0.496671326268	1	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. wound_swab	-13.7553476701	1.27423189237e-41	1.7367780693e-38	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. diabetic_skin_contra	-0.375356331184	0.707423776992	1	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. wound_deb	-15.3875222562	9.32968928978e-51	1.2716366502e-47	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_adj vs. control_skin_left	-2.75398734865	0.00592591464752	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. Unknown	-0.66491028882	[ 0.50632624]	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. Positive_4	2.51912750033	[ 0.01198561]	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. Positive_3	2.43345024332	[ 0.01520422]	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. control_skin_right	2.66745387821	0.00781019070934	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. wound_swab	-3.98094352692	7.54005073967e-05	0.102770891582	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. diabetic_skin_contra	1.88135097553	0.0603139015328	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. wound_deb	-4.05333396436	5.59060095637e-05	0.0761998910353	N/A	N/A
control_skin_right vs. control_skin_right	Unknown3 vs. control_skin_left	2.37315427213	0.0178900338468	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. Positive_4	1.89299357553	[ 0.05876978]	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. Positive_3	1.80767813683	[ 0.07108452]	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. control_skin_right	0.611892697015	0.540796955544	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. wound_swab	-5.03822793129	5.90854779973e-07	0.000805335065104	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. diabetic_skin_contra	-0.361779396269	0.717619475044	1	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. wound_deb	-4.7353182938	2.62730579208e-06	0.00358101779461	N/A	N/A
control_skin_right vs. control_skin_right	Unknown vs. control_skin_left	0.92089778591	0.357402293811	1	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. Positive_3	-1.87739679577	[ 0.06087816]	1	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. control_skin_right	-15.8530799293	6.14567353938e-49	8.37655303417e-46	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. wound_swab	-11.8851305974	6.11565350156e-30	8.33563572263e-27	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. diabetic_skin_contra	-16.2231275795	6.52253548211e-51	8.89021586212e-48	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. wound_deb	-10.2476294566	4.06491117598e-23	5.54047393286e-20	N/A	N/A
control_skin_right vs. control_skin_right	Positive_4 vs. control_skin_left	-16.7366755337	1.32184189633e-53	1.8016705047e-50	N/A	N/A
control_skin_right vs. control_skin_right	Positive_3 vs. control_skin_right	-15.3315232692	2.86271604547e-46	3.90188196998e-43	N/A	N/A
control_skin_right vs. control_skin_right	Positive_3 vs. wound_swab	-11.4031936981	7.26877374938e-28	9.90733862041e-25	N/A	N/A
control_skin_right vs. control_skin_right	Positive_3 vs. diabetic_skin_contra	-15.6708299636	4.75340546106e-48	6.47889164342e-45	N/A	N/A
control_skin_right vs. control_skin_right	Positive_3 vs. wound_deb	-9.8325109694	1.64108910385e-21	2.23680444855e-18	N/A	N/A
control_skin_right vs. control_skin_right	Positive_3 vs. control_skin_left	-16.181747545	1.09534788633e-50	1.49295916906e-47	N/A	N/A
control_skin_right vs. control_skin_right	control_skin_right vs. wound_swab	-18.3337359872	5.02828827371e-70	6.85355691707e-67	N/A	N/A
control_skin_right vs. control_skin_right	control_skin_right vs. diabetic_skin_contra	-3.55655186033	0.000383111835344	0.522181431573	N/A	N/A
control_skin_right vs. control_skin_right	control_skin_right vs. wound_deb	-19.2039896372	4.60575800302e-75	6.27764815812e-72	N/A	N/A
control_skin_right vs. control_skin_right	control_skin_right vs. control_skin_left	-0.235078165823	0.814168678047	1	N/A	N/A
control_skin_right vs. control_skin_right	wound_swab vs. diabetic_skin_contra	-17.7094095959	3.79026707895e-66	5.16613402861e-63	N/A	N/A
control_skin_right vs. control_skin_right	wound_swab vs. wound_deb	-21.0541823665	1.2642159847e-88	1.72312638714e-85	N/A	N/A
control_skin_right vs. control_skin_right	wound_swab vs. control_skin_left	-19.9122909425	7.94616432333e-82	1.08306219727e-78	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_contra vs. wound_deb	-18.8685349553	2.84088088575e-73	3.87212064728e-70	N/A	N/A
control_skin_right vs. control_skin_right	diabetic_skin_contra vs. control_skin_left	-4.53617279873	5.98904058268e-06	0.00816306231419	N/A	N/A
control_skin_right vs. control_skin_right	wound_deb vs. control_skin_left	-20.7563566506	8.65671838079e-87	1.1799107153e-83	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_contra vs. diabetic_skin_contra	18.0364056683	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	wound_deb vs. wound_deb	-1.58720358459	0.112727162077	1	N/A	N/A
wound_swab vs. wound_swab	control_skin_left vs. control_skin_left	21.8577984468	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. Unknown3	8.53990442795	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. Unknown	5.5607647216	3.62750438576e-08	4.94428847779e-05	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. Positive_4	-4.87041783307	1.33464301026e-06	0.00181911842299	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. Positive_3	-4.50880282815	7.46182597601e-06	0.0101704688053	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. control_skin_right	25.7225273562	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. wound_swab	8.27170515102	2.22044604925e-16	3.02646796513e-13	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. diabetic_skin_contra	24.9509407244	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. wound_deb	5.85722269313	5.40802291837e-09	7.37113523774e-06	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_adj vs. control_skin_left	24.4273092298	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. Unknown	-1.3271387659	[ 0.18485162]	1	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. Positive_4	0.691110938739	[ 0.48970172]	1	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. Positive_3	0.636803135222	[ 0.52444016]	1	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. control_skin_right	7.25621822349	9.27258270167e-13	1.26385302224e-09	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. wound_swab	3.00936466742	0.00269830133051	1	N/A	N/A
