OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	taxonomy
OTU_222	22.0641178	2.64E-06	8.95E-06	0.001476681	1.609756098	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Beutenbergiaceae
OTU_24	41.87613445	9.72E-11	4.95E-09	5.45E-08	72.65853659	4.588235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__
OTU_276	21.86674424	2.92E-06	9.74E-06	0.001636629	2.804878049	0.132352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__
OTU_429	31.47216061	2.02E-08	2.06E-07	1.13E-05	42.73170732	4.088235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__paucivorans
OTU_408	20.93841557	4.74E-06	1.43E-05	0.002656009	2.097560976	0.514705882	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae
OTU_868	30.09478118	4.11E-08	3.66E-07	2.30E-05	2.707317073	0.117647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
OTU_881	26.65850639	2.43E-07	1.33E-06	0.000135957	4.195121951	0.147058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__xylanilytica
OTU_228	35.81300811	2.17E-09	3.92E-08	1.22E-06	32.90243902	1.941176471	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_90	33.02090394	9.12E-09	1.16E-07	5.11E-06	837.804878	130.3823529	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_107	32.92267289	9.59E-09	1.19E-07	5.37E-06	102.4390244	4.955882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_3811	28.03966093	1.19E-07	7.73E-07	6.66E-05	24.92682927	4.602941176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_388	26.88598731	2.16E-07	1.21E-06	0.000120858	14.31707317	1.867647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_3815	25.32207768	4.85E-07	2.23E-06	0.00027167	2.56097561	0.088235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_47	24.21328118	8.62E-07	3.60E-06	0.000482919	153.2682927	12.16176471	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_4	23.62979149	1.17E-06	4.54E-06	0.000653888	89.46341463	15.82352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_1472	22.44836783	2.16E-06	7.58E-06	0.001208866	6.268292683	1.588235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_906	18.05255493	2.15E-05	4.87E-05	0.012033844	16.87804878	33.97058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_7601	16.84492537	4.06E-05	8.48E-05	0.022714518	4.146341463	0.647058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_1738	18.57208593	1.64E-05	3.95E-05	0.009161526	14.2195122	0.367647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii
OTU_34	51.64209711	6.66E-13	9.32E-11	3.73E-10	45.02439024	2.382352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__conglomeratum
OTU_2340	15.48112814	8.33E-05	0.000159271	0.046666547	1.609756098	0.147058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae; g__Dermacoccus; s__
OTU_2171	16.95338811	3.83E-05	8.10E-05	0.021452978	10.82926829	0.279411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae
OTU_2375	21.39816642	3.73E-06	1.17E-05	0.002089516	9.804878049	1.647058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae; g__Dietzia
OTU_1094	26.51345343	2.62E-07	1.41E-06	0.000146557	5.585365854	0.573529412	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae; g__Dietzia; s__
OTU_786	26.97990281	2.06E-07	1.19E-06	0.000115126	6.536585366	0.455882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae
OTU_36	26.93588039	2.10E-07	1.20E-06	0.000117778	49.46341463	1.588235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae
OTU_1681	17.33249979	3.14E-05	6.89E-05	0.017571367	1.170731707	0.220588235	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae
OTU_940	15.59104593	7.86E-05	0.00015079	0.044030585	2.609756098	0.132352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
OTU_1165	23.19172593	1.47E-06	5.48E-06	0.00082111	4.243902439	0.397058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
OTU_761	27.00402103	2.03E-07	1.19E-06	0.000113698	3.975609756	0.279411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Gordoniaceae; g__Gordonia; s__
OTU_28	20.47416722	6.04E-06	1.77E-05	0.003384725	4.682926829	0.25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__; s__
OTU_1825	21.93155563	2.83E-06	9.53E-06	0.001582277	1.292682927	0.044117647	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Arsenicicoccus; s__
OTU_21	36.72614187	1.36E-09	3.05E-08	7.61E-07	53.09756098	4.044117647	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Janibacter; s__
OTU_4475	21.82479763	2.99E-06	9.90E-06	0.001672801	1.756097561	0.044117647	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Terracoccus; s__
OTU_777	17.51253623	2.85E-05	6.32E-05	0.015983492	2.512195122	0.102941176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__; s__
OTU_287	15.84416649	6.88E-05	0.000133273	0.038515811	2.341463415	0.191176471	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus; s__
OTU_152	25.51360236	4.39E-07	2.10E-06	0.000245994	5.317073171	0.897058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU_1498	22.974034	1.64E-06	6.05E-06	0.000919544	5.317073171	1.705882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU_85	42.1749734	8.35E-11	4.67E-09	4.67E-08	16.51219512	0.955882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
OTU_2687	16.91790451	3.90E-05	8.19E-05	0.021857743	3.829268293	0.573529412	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae
OTU_283	34.89277411	3.48E-09	5.91E-08	1.95E-06	26.75609756	0.323529412	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__
OTU_4363	19.92103162	8.07E-06	2.20E-05	0.004519624	2.170731707	0.132352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__
OTU_1969	19.59271825	9.58E-06	2.54E-05	0.00536669	4.024390244	2.117647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__
OTU_4098	37.75057037	8.04E-10	2.25E-08	4.50E-07	6.073170732	0.205882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter
OTU_13	28.22735179	1.08E-07	7.11E-07	6.04E-05	177.7560976	9.897058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__palustris
OTU_52	51.72289601	6.39E-13	9.32E-11	3.58E-10	532.9512195	17.61764706	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__
OTU_3965	40.26431899	2.22E-10	1.04E-08	1.24E-07	15.87804878	0.102941176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Nesterenkonia; s__
OTU_360	25.73555021	3.92E-07	1.92E-06	0.000219267	3.853658537	0.176470588	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__dentocariosa
OTU_635	24.07121341	9.28E-07	3.82E-06	0.000519892	3.43902439	0.073529412	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
OTU_11	18.93484109	1.35E-05	3.38E-05	0.007574545	1.317073171	0.014705882	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
OTU_1379	18.53961547	1.66E-05	3.97E-05	0.009318924	5.024390244	0.455882353	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
OTU_536	21.78517953	3.05E-06	1.00E-05	0.001707701	2.390243902	0.132352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes; s__
OTU_502	30.77788031	2.89E-08	2.79E-07	1.62E-05	7.975609756	7.117647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
OTU_3767	23.26608427	1.41E-06	5.37E-06	0.000789968	5.414634146	0.691176471	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
OTU_184	18.33652731	1.85E-05	4.32E-05	0.010366914	3.414634146	4.014705882	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nakamurellaceae; g__; s__
OTU_421	32.48043231	1.20E-08	1.43E-07	6.74E-06	2.365853659	0.102941176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
OTU_4558	20.2473741	6.80E-06	1.94E-05	0.003810621	4.365853659	0.044117647	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
OTU_4603	26.20605962	3.07E-07	1.56E-06	0.000171841	1.292682927	0.161764706	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__fascians
OTU_784	33.81488476	6.06E-09	8.70E-08	3.39E-06	7.926829268	0.470588235	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_86	25.39288823	4.68E-07	2.20E-06	0.000261878	6	0.441176471	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_2760	24.56712932	7.18E-07	3.07E-06	0.000401887	1.292682927	0.029411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_179	24.04398924	9.42E-07	3.82E-06	0.000527295	4.853658537	0.5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_511	16.44003031	5.02E-05	0.00010115	0.028119596	2	0.470588235	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_367	52.61064842	4.07E-13	9.32E-11	2.28E-10	7.146341463	0.279411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium; s__
OTU_493	23.84580485	1.04E-06	4.12E-06	0.000584467	1.536585366	0.088235294	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__
OTU_1372	17.10820671	3.53E-05	7.61E-05	0.019773264	2.12195122	0.132352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__
OTU_1256	29.21823103	6.47E-08	5.03E-07	3.62E-05	2.268292683	0.029411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__plantarum
OTU_692	32.08122708	1.48E-08	1.59E-07	8.28E-06	3.463414634	0.220588235	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Promicromonosporaceae; g__Xylanimicrobium; s__
OTU_22	23.98240205	9.72E-07	3.89E-06	0.000544433	6.243902439	0.411764706	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinomycetospora; s__
OTU_30	28.85775818	7.79E-08	5.89E-07	4.36E-05	11.75609756	0.352941176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__
OTU_1518	29.44963467	5.74E-08	4.73E-07	3.21E-05	2.268292683	0.117647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae; g__; s__
OTU_119	24.40048576	7.82E-07	3.29E-06	0.000438194	1.219512195	0.029411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces
OTU_103	25.64969179	4.09E-07	1.99E-06	0.000229242	2.585365854	1.25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
OTU_775	19.65821427	9.26E-06	2.49E-05	0.005185844	5.243902439	0.632352941	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Williamsiaceae; g__Williamsia; s__
OTU_214	30.27872004	3.74E-08	3.38E-07	2.10E-05	16.6097561	0.25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
OTU_790	25.26457544	5.00E-07	2.28E-06	0.00027989	2.048780488	0.014705882	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
OTU_391	23.64344683	1.16E-06	4.54E-06	0.000649264	3.658536585	0.220588235	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
OTU_993	20.37209491	6.38E-06	1.85E-05	0.003570151	1.731707317	0.029411765	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
OTU_1003	16.56583183	4.70E-05	9.60E-05	0.026314424	1.12195122	0.044117647	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
OTU_213	16.32876012	5.32E-05	0.000105744	0.029819792	1.219512195	0.088235294	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
OTU_642	15.43116499	8.56E-05	0.000162429	0.047916664	2.170731707	0.088235294	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
OTU_480	15.3984231	8.71E-05	0.00016471	0.048754113	0.87804878	0.073529412	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
OTU_1109	21.7338963	3.13E-06	1.03E-05	0.001753965	1.756097561	0.088235294	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
OTU_118	22.44666982	2.16E-06	7.58E-06	0.001209935	1.487804878	0.029411765	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__
OTU_125	36.53461223	1.50E-09	3.11E-08	8.40E-07	2.512195122	0.029411765	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_640	26.86446917	2.18E-07	1.21E-06	0.000122211	1.756097561	0.029411765	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_176	15.91320989	6.63E-05	0.000129846	0.037135985	1.414634146	0.073529412	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_64	19.54931293	9.80E-06	2.57E-05	0.005490015	2.317073171	0.102941176	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
OTU_38	17.52738822	2.83E-05	6.29E-05	0.015859125	1.268292683	0.073529412	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
OTU_655	31.76211615	1.74E-08	1.84E-07	9.76E-06	7.292682927	0.044117647	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
OTU_653	29.59523633	5.32E-08	4.50E-07	2.98E-05	7.073170732	0.029411765	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
OTU_1246	21.16126347	4.22E-06	1.31E-05	0.00236439	1.56097561	0.014705882	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
OTU_1317	16.69857701	4.38E-05	9.12E-05	0.024535756	10.97560976	0.529411765	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
OTU_839	19.6219997	9.44E-06	2.52E-05	0.005285069	4.292682927	0.882352941	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
OTU_42	26.24304873	3.01E-07	1.55E-06	0.00016858	1.731707317	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__
OTU_2047	20.03459535	7.61E-06	2.10E-05	0.004259008	0.902439024	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__
OTU_497	28.38309958	9.95E-08	6.81E-07	5.57E-05	1.780487805	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU_8077	38.06931125	6.83E-10	2.01E-08	3.82E-07	11.75609756	0.058823529	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU_6933	27.96885662	1.23E-07	7.85E-07	6.90E-05	17.31707317	0.088235294	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU_7464	18.20447437	1.98E-05	4.55E-05	0.011111081	2.634146341	0.205882353	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU_1296	25.09900884	5.45E-07	2.43E-06	0.000304981	4.756097561	0.014705882	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__
OTU_2083	16.42116085	5.07E-05	0.000101795	0.028400899	3.975609756	0.102941176	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_1002	28.64804259	8.68E-08	6.48E-07	4.86E-05	4.682926829	0.073529412	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU_33	19.48617197	1.01E-05	2.64E-05	0.005674513	3.609756098	0.294117647	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU_20	29.80891813	4.77E-08	4.11E-07	2.67E-05	4.951219512	0.691176471	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__multivorum
OTU_69	30.59559589	3.18E-08	3.02E-07	1.78E-05	1.365853659	0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
OTU_58	16.16214226	5.81E-05	0.000115057	0.032560995	2.292682927	0.073529412	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
OTU_4604	36.93946339	1.22E-09	2.97E-08	6.82E-07	16.12195122	0.794117647	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU_169	27.1163758	1.92E-07	1.14E-06	0.000107278	7.829268293	3.705882353	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU_4922	19.21906512	1.17E-05	2.98E-05	0.006526443	14.53658537	1.970588235	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU_1823	34.14898652	5.10E-09	7.94E-08	2.86E-06	17.2195122	0.132352941	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae
OTU_383	17.25495157	3.27E-05	7.12E-05	0.0183033	4.024390244	0.235294118	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__
OTU_3717	18.5437862	1.66E-05	3.97E-05	0.009298556	2.243902439	0.514705882	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__
OTU_1066	24.57277692	7.16E-07	3.07E-06	0.000400711	10.09756098	0.426470588	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__Exiguobacterium; s__
OTU_7024	18.74886593	1.49E-05	3.62E-05	0.008350272	8.365853659	0.470588235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
OTU_3757	30.41399356	3.49E-08	3.23E-07	1.95E-05	7.536585366	4.191176471	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__cereus
OTU_743	29.85664653	4.65E-08	4.07E-07	2.61E-05	6.731707317	0.602941176	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus
OTU_752	18.09082385	2.11E-05	4.80E-05	0.011794383	59.24390244	0.323529412	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Brochothrix
OTU_509	33.60028912	6.77E-09	9.48E-08	3.79E-06	23.65853659	0.220588235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__
OTU_68	23.28011768	1.40E-06	5.37E-06	0.000784225	55.02439024	3.235294118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Jeotgalicoccus; s__
OTU_760	24.65224521	6.87E-07	2.98E-06	0.000384522	2.170731707	0.029411765	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus; s__
OTU_4906	20.90981604	4.81E-06	1.43E-05	0.002695959	29.02439024	7.823529412	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
